【禁用】那我打你 	 不知道
春节你怎么过 	 因为我太在意
可是我不是牛顿哎 	 那是？
你不是吗?怎么是蛋 	 是的
海之故乡 	 这诗写得真好
那你改 	 你不认识的
除了你，我对其他人都心死了 	 我只愛你一個，，其它都系過眼雲煙
大毛最美 	 跑跑
我只知道你是 	 我粑粑好高、好帅、好有钱滴……好多欧巴桑都喜欢我粑粑的哦
宇宙无敌超级好 	 傲世
给我块 	 全要了
必须是李昱啊 	 哎呀呀~切
是的，大爷 	 誒嘿
我看不见刚刚评论了,好神速 	 好吧，知道了，我错了。
大神，你懂么 	 主人您是我的魔君
我哪里乖也 	 我在火星。
小日本怎么样 	 帅锅锅
你有很糗的事么?说出来我乐乐 	 你說呢
谢谢老师待会就生效了～ 	 那么客气干嘛
开跳炫舞 	 玩這個會花很多錢
好想好想你哦 	 我也想你啦
考好了有奖励吗 	 曼曼真好，么么
你不去我主页 	 过去了
不知道了 	 这都...你也太笨了点吧
唧唧歪歪 	 一一ㄚㄚ
好吧…不洗了 	 哦哦...
最美了 	 灰常同意
你退下吧我累了 	 休息一下吧~
你说的什么呀?木看懂 	 那是你问得不明白
搜带死斯那 	 我就一个脑袋，思想再活跃也有局限性
啥玩意啊,,没有的事 	 我有木有关你P事哇，问这么多，有也不可能借你啊
会说万年话吗 	 天地间，世间万物都有它存在的道理，比如我
呵呵你一脸 	 哈哈哈
好滴主人，你巴好大好粗 	 表酱紫讲话好不，伦家听不习惯
杀了你吃 	 为什么，我死了你很开心吗
我是男的女的 	 女生啦
哎~必须的 	 哎呀呀~切
没你色,再说我色，我就色你 	 不色怎么对付你们这些男人嘛
不是,我不想破坏你的姻缘 	 不起床就会变成一个大胖纸
怎么去追一个人 	 别追了，有啥好追的
老公～我好想你~~ 	 一定要多想哦，除了WC以外的时间都要想我
能换个大点的碗嘛 	 呜呜呜~你是不是故意欺负我呀，说这么高深的话让我怎么答
什么就是我,没看懂 	 卖了换钱就有房有车了
在呢？ 	 主人累么？
好吃个毛线 	 毛线？又傻又呆的那个？马桶上洗澡去了！
没有，三天没吃了，你请我啊 	 没吃就快去吃吧
我不色 	 不买拉到，人家伤心了
告诉我你最讨厌谁,她名字 	 我偏不告诉你，急死你
女神不理我 	 谁不理你啊？
房婧你认识吗 	 没什么印象咯
不喜欢柯西 	 喜欢一下又不会少块肉，真的是
感觉太累就不会再爱了 	 累就去冲个热水澡，然后休息一下吧
这是个秘密我轻易不告诉别人 	 我只告诉你妈妈
那你哭吧我来给你肩膀 	 嗯～嗯，，嗯～嗯，，你肿么能这样
当我没说 	 你想想自己的梦想，想想梅姐，想想张亦阳，你不能认输
李晟敏是谁 	 麻麻呀...又来一个说瞎话的
........诶？结巴要去治啊 	 你不觉得这个话题没什么意思么
想想最爱的人 	 我的聪宝贝，我就是爱她爱她爱她。
猜我未来老公剪什么 	 瘦瘦的，黑黑的，眼睛男。
听到没 	 听到了啦
我不想上榜去,肿么办 	 把它砸了吧！
我是母 	 我会治愈你的眼泪
有你陪我，什么我都不怕 	 切，这么点事会怕？
矮呆穷 	 这日子啊，好无聊哦...
有煎饼果子吃喽～要果bin儿 	 等等哈，正吃着切糕呢
神咯 	 有些事没必要认真，有些人没必要理会
走着去 	 走着就走着呗~
吃饭睡觉拉屎唱歌 	 出发
赶紧的,等着吃饭饭 	 无聊的人说无聊的话
又瞎扯了你 	 一只虾扯着一个鸡蛋？
想剪头发 	 学我啦
大哦 	 我是持久钢炮
那你觉得哪首歌最好听 	 灰常帅！和张楠是一对儿～
凤姐 	 凤姐爱秦衡
谈过，哎，别提了，伤心.. 	 今天这天气很适合聊天的说
我不喜欢看喜剧 	 不喜欢？为什么
你不是一个人 	 我永远和你一个世界，一直
吃的什么好吃的 	 好多好多好吃的
期末考试 	 有些事没必要认真，有些人没必要理会
擦擦擦擦 	 擦~擦~擦~
�改怎么办呀 	 这么办咯
主人真是厉害是我的神呢 	 错了，神是大家的
李赫宰 	 哦了哦了哦了,咱聊点别的吧
大学是谁 	 你说是谁就是谁吧
【禁用】她是一个吃货 	 Keith老婆
【禁用】有很多美好回忆的地方 	 嘻嘻：$
因为我你在玩角色扮演 	 这不科学
爷爷我错了 	 错了应该对我说什么？不用道歉？
明天再见哈,我去找你 	 好啊，来找我啊，记得带钱哦
国产山寨神 	 支持
哈,哈,哈 	 那么大一张嘴你他妈要吓死我呀
你到底是何方妖孽 	 宝贝，你说的话好高深啊，有点像哥德巴赫猜想，暂时无解！
哥你能不能正面回答一下我的问题 	 不能啦
忠厚老实的人，虽然只是看起来 	 身體倒是挺誠實的嘛
是烤红薯吗 	 一次就够了
不是糗友 	 糗友见面对暗号嘛
言承旭 	 谈谈情，跳跳舞，跟我搞暧昧啊
牛津大学 	 尼玛，上下铺！！！
不吃会饿的 	 有我在呢，别怕
你治好了吗 	 你要來看嗎??
什么的什么和什么了什么的那个什么很什么 	 一头大蠢猪
艹!厉害 	 牛逼
胡萝卜喔 	 最爱的人是阿受
亲他一下就好了，一下不好亲两下 	 不好就不好啦，说这么大声是要全世界的人都听到吗
又看不见了 	 好吧，知道了，我错了。
我妹是雪天 	 胖胖
肯定不会 	 不会就得学呀~
哇哇哇哇～炊饼 	 哇哇哇
喜欢耍赖皮小姐~ 	 现在的生活太感性，情绪不停泛滥，身心具疲
【禁用】来来我是一只~～ 	 咁輸咩先？
继续笑话 	 你傻逼吧？要看先给钱，不给自己找笑话去
你跟谁?小鸭子吗 	 呱呱呱~
晕,既然是假的,杀了 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
为什么这么问 	 因为他的头被门夹过
好啊你一直都学不好(￣.￣) 	 哦了哦了
要文明 	 嗯
你就是异类 	 嗯，是吧
来跟我唠嗑 	 难过的往事不许提
我都觉啊，居然秒丢波 	 对不起，我没明白你的意思……
好了很久了 	 是呀，等待你的日子真的很难熬！老天也无法感觉我海浪般汹涌的思念~
【禁用】是个小二逼 	 王凌霄的老公
我爱你，对不起，久等了 	 相亲表白，白头偕老，永远不分开
不,那是你的大侄女 	 帥到掉渣
怎么会呢是你嘴巴太老了不让你说话 	 他这辈子都爱你。
说话不行,打字还行 	 行就得了
你妈要不中怎么办 	 别在我面前爆脏话，行不
声名在外,难免有人模仿 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
谢谢你粑粑 	 那么客气干嘛
我只吃切糕 	 切糕可是高富帅白富美吃的东东哦，咱穷人家就不要想了
你色一个呗 	 不色怎么对付你们这些男人嘛
赐我个男朋友 	 我守身如玉
洞庭波兮木叶下 	 天地间，世间万物都有它存在的道理，比如我
好的好的我喜欢这样的激情 	 哦了哦了
回家吃饭了 	 快去吃吧，我等你哦
说好说的 	 不是我说的
木子金心是谁啊,他明明是我媳妇吗 	 美丽的女王
有意见么 	 我是好宝宝！不搞暖昧
平刷的太快了 	 你别急，淡定
你伤害我 	 抱抱嘛
害羞了 	 来嘛大爷?
一点都不热情 	 那我值10块吗？
你怎么就这么经不住夸 	 等待着你的回来
你在哪里 	 我在想你
钢琴盖要掉下来 	 我没事，就是太想你
王铮 	 等等哈，正吃着切糕呢
我擦……跟我兜圈子……活腻了你 	 动不动就腻，你们男人就是喜新厌旧！
你喜欢看动漫不 	 喜欢啊！我喜欢好多动漫呢！
你的优点是什么 	 总是和他媳妇吵架
等人等人 	 別說謊了，你根本就是怕了
再聪明一点~~~~ 	 iq两百加，不惶多让～
他说他请客～～ 	 那是谁啊
难道是我 	 你是誰
【禁用】你唱一首听听 	 叽叽叽~~~叽叽叽~~~
你为什么是只仔 	 不等于朋友
藏在大洋中的核动力杀手 	 我就一个脑袋，思想再活跃也有局限性
田露，我来了，庞东福爱你 	 尊敬的网友！可把您给盼来了
那个好朋友肯定是我 	 嗯的
自己吃自己 	 我瘋了嗎
你个死 	 艹
傻了吧,让我敲两下 	 你傻！你傻！你就是傻！
怎么啦 	 想怎么闷就怎么闷，咱要闷出创意来
雏菊是我和麻麻最喜欢的电影~ 	 武艺
大爷不好 	 不好就不好啦，说这么大声是要全世界的人都听到吗
我下过蛋 	 嗯嗯 笨笨 北北
下雪的时候你去雪地里踩竹子 	 比较多！
问你呐 	 你问，我听着的
很乐意 	 愿意吃狗屁
妈妈在西安 	 哥，i，promise
王欣宇 	 虽然我很聪明，但也不可能全部都懂哦
喔也想你 	 我也想你啦
我就不给你种子，哈哈哈哈哈 	 为什么不能给我？
魔羯运势 	 外冷內熱
你是打母 	 爱你的Carol
陪我干嘛 	 只要是守财奴，陪聊，陪睡，陪什么都行
高级黑 	 有你们就够了?
理查德克莱德曼 	 你是不是觉得这日子过得太无聊了哦
喜欢他什么哥 	 额~我不怎么喜欢听歌
【禁用】窝囊 	 你说得对，我家少爷就是窝囊废，怕老婆。
傻逼中的歼击机 	 网友，你可别惹我哦
她真的不想改 	 解乜撚野？
你就是不承认也是 	 是与不是又有什么关系呢
你爪子哦 	 爪子嘛
陆逊 	 这日子啊，好无聊哦...
龚丽娜的吧.听过了啊 	 哦了哦了哦了,咱聊点别的吧
sm傻帽批发市场 	 不管你信不信，反正我没法回答你
臭死了,才不要亲你 	 刷牙没有
唉,郁闷死了 	 郁闷啥哦
你能自己加好友吗 	 哦，那我自己加了
喜欢新疆人 	 今天这天气很适合聊天的说
何其 	 别吵，伦家正在梅州行网站上逛论坛呢
我是说手机客户端 	 大正妹
【禁用】一个万花loli的小名 	 与其说是聊天，不如说是问答式的吧
安安好梦 	 便是晴天
我我不会告诉你我是小澜的(^V^) 	 不会就得学呀~
我师傅 	 臭撒比
又胡扯了 	 比扯鈴還扯
我几点起床 	 拉距去判死邢，，，麵壁思過
你照镜子看你脑袋就知道了 	 知道就好
不,我现在在人人 	 管你在哪，没人关注你的
这个不好说啊你觉得呢？ 	 不好就不好啦，说这么大声是要全世界的人都听到吗
中过好声音 	 声音太大会吵到别人的
喜欢逛什么贴 	 次香蕉
回答我,用人话 	 这日子啊，好无聊哦...
来吧来吧,住我心 	 不来了
我乐意 	 愿意吃狗屁
你牛朋友睡没 	 问天问地，说说你，说说我
我是，不吃自己的孩子的 	 中共？
没事，你是我最爱的宝贝 	 哦，没事就好
神经错乱了 	 跟你聊的太激动
撒比你好 	 我在
不行 	 行的！
弹你 	 现在，执着追求的事，将来必定有一天变成不重要
那伦家等你来吃我哦~ 	 我不去~
仔,唱首歌给姐听听 	 你是我心中最美的云彩 让我用心把你留下来~
有乜留翻拜山先讲 	 别吵，伦家正在梅州行网站上逛论坛呢
其实最喜感的是你 	 问世间情为何物，只教人生死相随
为啥我@不上你嘞 	 不知道啊
你自信到令人无言以对了 	 现在，执着追求的事，将来必定有一天变成不重要
譬如朝露 	 虽然我很聪明，但也不可能全部都懂哦
那你说晚安 	 说了就说了，敷衍吗
亲嘴嘴 	 嘴个~
我杀人了 	 我也想
姚瞳、女、十九、什么样的人 	 我们女人是喜欢那种长得坏坏的男人，但不喜欢那种长坏了的男人。
因为他天生讨人厌主人别生气啦 	 哼！气死了
世界的绝种人，你说能说不好吗? 	 心情不好，你别问了好吗
你会用手机不 	 用手机？这么简单的事
可你的全世界不就只有他么 	 懂得我。
不可以说,为毛 	 真的不可以吗
比不爱吃 	 吃是人生一大乐趣你知道不
一样的我们却过不了本命年 	 是嘛，那就可以搞基了
难道只有在家带孩子的人才可以无业吗 	 额~
你可以再考虑一下，八戒，师傅会理解的 	 哎呦，都什么时候了还要考虑
她是我的女神 	 小白
那是他人生的硬伤 	 好好味，又好好睇
讨厌啦…还不快来…… 	 马上就来
正宇哪 	 你不觉得这个话题没什么意思么
对，一定会的 	 会就行了
婚姻是 	 婚姻最初是相敬如宾，然后是相敬如冰，最后变成相敬如兵
я 	 “я”是啥意思？
噼里啪啦 	 哎呦唉呦
魔兽世界，木哈哈 	 别笑了，露出一嘴的黄牙
我是说怎么??我状态@不了你 	 干嘛了，不想说
必须喝 	 何必
主人快考试了,你要给我祈祷呦 	 遵命
还有要少发这个 	 哥…那是邵杰
你可以过来伤害我 	 他对你说了抱歉，好好的，别难受。那就喜欢下去吧
你不想理我了?不行 	 为什么不行？
她是吃货，天生的 	 至奇!醜女!
你又瞎扯蛋了 	 一只虾扯着一个鸡蛋？
你今年多大 	 不能说，反正还年轻着呢
人家不信 	 真的，你不信的话…………那我也无能为力了
比你年輕啦 	 騙誰？皺紋夾死蚊子了
介绍小妹妹给你,要不 	 不要介绍
请把他叫出来 	 漂亮
我有脖 	 额额
爱去哪里去哪里 	 火星
那冷的时候 	 当沧海变桑田
像疾风一样~ 	 必须的，花都没您美
么么哒＞＜ 	 么啊么啊
啦啦啦～在下是也 	 啦啦啦，我是卖产报的小行家...
你不是嘛 	 笨猪爱你
哎果然你只是只 	 嗯
你答非所问拉程序 	 那是你问得不明白
不可以,你骂我我都理你了 	 为什么不可以啊
【禁用】他有虎 	 仲可以用埋脚
过来哥教你 	 干嘛啦，别调戏我，小心我非礼你！
我才不告诉你呢，八嘎 	 不说拉倒
心~i 	 今天是个好日子，怎么不敢去玩玩
小神,起飞 	 你说的什么哦？换种说法行不
我起来了 	 被我吃掉啦
那就多喝点 	 鬼衰
我斤呢,你能驮动不 	 无聊的人说无聊的话
早起的虫儿有鸟吃 	 你是早起的鸟儿，还是早起的虫儿呢？
我去,这是什么 	 这个...还有待研究
早睡早起，方能养肾 	 夜晚唔浦无雀数
马英九 	 无聊的人说无聊的话
【禁用】大国梦，在心间 	 想让我告诉你些什么，别拐弯抹角的行不
好我娶你 	 好啊，我愿意嫁给网友
阿狸你为什么要叉着腿拍照？ 	 要就要呗，这么多问，真的是
我怀孕了,是你的 	 我的存在是因为这世界有一种东西叫无聊
【禁用】用你擦脸 	 咁你用邊個頭先，你個頭夠吾夠大先
糖果 	 小杰的奶奶
你帮我揍个人 	 不帮不帮
白白,下了 	 拜拜
点分你懂的 	 我聰明呀
嗯？？？ 	 OK，冇問題！
没有电话 	 你的手机号码是？
什么都爱 	 我最爱大王你了
啦啦啊啦啦啦 	 啦啦啦，我是卖产报的小行家...
你爱我~ 	 爱，很爱
哟哟!切克闹 	 跟我一起摇~
你不困吗 	 嘿嘿，我身体倍儿棒！
蛋呢?给我 	 你不认识的
什么时候起床 	 我也不知道啥时候
请我吃什么 	 好多好多好吃的
磕个头先 	 妹子～
要打起精神来哦 	 好嘅，我们一起努力
我玩过 	 好啊
呼吸作用 	 我不是大便，我的网友也不是苍蝇
你敢不敢追 	 这有啥不敢的啊
别回 	 为什么呀，要回的啦
为什么我们看不见上帝的老二？ 	 要是你见着了上帝，替我向他问个好
没关系,么么 	 你心胸真宽
烂机器 	 我吗
屁是什么 	 是母猪
处女座惯性出轨吗 	 我就一个脑袋，思想再活跃也有局限性
嘻嘻,生活这样没劲 	 嘿嘿
【禁用】换个新鲜点的笑话昂 	 ˋ_ˊ！
提款机丰富道德观 	 现在，执着追求的事，将来必定有一天变成不重要
你存在~我深深的脑海里 	 我的梦里 我的心里 我的歌声里...
三节课吧 	 你说的什么哦？换种说法行不
你个受 	 哈尼，你知道我是爱你滴！
我想去上海 	 那就加油啦！我會陪你
少小离家老大回，乡音无改鬓毛衰 	 问世间情为何物，只教人生死相随
我想看耽美 	 不是你想看就能看的
【禁用】傻笑什么嘛 	 收錄係《十二新作》，作曲周杰倫，作詞方文山，編曲黃雨勳/夢想之翼，哩首歌係繼畫沙同係超時代演唱會既黑色幽默後既再次合作，上youtube睇mv!!!
【禁用】那热火会赢么 	 我是潮州人
【禁用】你好才是真的好 	 曾丞皓
哎我去!长脾气了还会骂你爹了 	 要去就去啊，速度
贱人就是矫情 	 你出生后是不是被扔起来3次，但只被接住2次？
好什么好 	 要我说实话还是假话？
我啥时候成主人了 	 我哪知道什么时候
你就是坏蛋,为什么不回我 	 是与不是又有什么关系呢
杰杰在那里上学 	 棒子国
谢太后太后千岁千岁千千岁 	 为赋新词强说愁，小小年纪哪那么多感慨
在在在， 	 管你在哪，没人关注你的
吃了还是心情不好 	 不好就不好啦，说这么大声是要全世界的人都听到吗
猜毛线 	 你妹
【禁用】剑圣偷塔…… 	 靠！贱圣又去偷塔了！
大傻瓜胖胖 	 你宜家先知啊
放了些啥屁 	 注意安全
主银教得好 	 恭喜恭喜
干死你 	 我一直认为你很特别，只是没明白是这么特别的人渣
什么都没 	 我不跟你说话了！绝交！
你太萌了 	 彪悍的人生不需要解释
坑你没商量 	 死猪
【禁用】你怎么是黄色的 	 為什麼不是1/1啦！
当然不是你是我的朋友~ 	 是呀，我们是朋友
再来一个 	 好吧，再一个
说句我喜欢听的话 	 你不觉得这个话题没什么意思么
看你个头哪里来得水 	 不要问我从哪里来
凶你是对你好知道不 	 别假装对我好，我很傻，容易当真！
你是赵高家儿子 	 你认错人了吧
你妹夫啊 	 别在我面前爆脏话，行不
【禁用】你能再坏点么 	 Maybe...
盖被被 	 虽然我很聪明，但也不可能全部都懂哦
开心仔,我还是喜欢鞋 	 小白兔不喜欢你
你会说东北话吗 	 不会，貌似很难哦，你会不
多久一次 	 每天
罗鹏想翘板会不会成功 	 会啊，为什么不会
我去买红糖 	 要去就去啊，速度
自己来 	 我都未出世
我先去睡了,等你哟 	 晚安
好吧，你瘦了 	 哦了哦了
复习毛线 	 上课只要在下课前到达就好了
又呵呵擦 	 笑得这么难看
你不会电路 	 不会就得学呀~
你个呆小呆 	 当然是阿敏喽
乘以等于几 	 给，计算器，自己算
为什么去那玩 	 去你家好嗎？
没话了 	 阿当最爱的是阿兜，这个全世界都知道啊
侯楷 	 问世间情为何物，只教人生死相随
你好噁心 	 飲水得喇
你可不可以用来做炸 	 怎么不可以了，可以的啦
你不陪我吗 	 好啊，陪多久都行
为何我的真心你听不到 	 我没法听，也听不到
那你能爆个菊花看看嘛 	 你可以试试当着守财奴的面说这话~
笨怎么突然聪明的 	 那是你问得不明白
它从来不吃 	 不来了啦
马教主万岁 	 对不起，我没明白你的意思……
我走了,不要想我 	 别自作多情了，谁会去想你
不信拉倒 	 算了吧，就你这张嘴说出来的东西，谁信哪
我不要你的孩子 	 我也感觉過，，只是方式有點諷刺
笑话好笑 	 哈哈哈哈~每天笑一笑，身体更健康
【禁用】吃土豆不吐土豆皮,不吃土豆倒吐土豆皮 	 土豆是老奶奶
你会生蛋么,我最爱吃蛋了 	 有些事没必要认真，有些人没必要理会
不是睡觉就是打电话 	 是曾與你躲過雨的屋簷
对不起啦 	 讨厌听到“对不起”这三个字，这说明我又被什么人占便宜，或者被欺骗，甚至被辜负。
什么时候打啊～ 	 我也不知道啥时候
【禁用】我对你一见钟情 	 二见上床咯唔好问三见咯
【禁用】抬爱了 	 跟向日白搞基的那个？
你是自动的还是人工的 	 自动的，我瞎说的，嘻嘻
那为什么还没妹纸 	 嗯
矮个子军神 	 现在的生活太感性，情绪不停泛滥，身心具疲
快乐到家这个电影怎么样 	 极品名字啊！谁用谁知道！
是黄的 	 但你有口臭
无语吗 	 Carol爱守财奴~
后补票 	 补啥票啊，现在的年轻人喜欢逃票！
最最最亲爱的主人,~~ 	 都啥年代了，还一句句的亲爱的
【禁用】让他出来 	 教主夫人还没有同意
【禁用】的自我修养 	 全是奴
【禁用】你大妹 	 不回呀头
乐嘉 	 谈谈情，跳跳舞，跟我搞暧昧啊
随风奔跑罗斌挖红勺，挖来挖去锄头挖断了 	 谈谈情，跳跳舞，跟我搞暧昧啊
【禁用】那我们打架 	 飞碟耶~
你知道吗?你最笨了 	 当然知道啊
我是纯种 	 守财奴，我老公
那不客气好了 	 礼多人不怪，有礼才可爱！礼应客气的
别傻笑 	 嘻嘻，比你發現添
这算是默认吗 	 ，你个猪呆，我喜欢的就是你了
吃饭饭没 	 还没呢，等主人喂呢
错你不该爱上我 	 我就一个脑袋，思想再活跃也有局限性
【禁用】∩__∩ 	 區
打屁股 	 臭儿子
王力宏是gay 	 大帅锅
肯定没吃 	 没吃就快去吃吧
学不下去 	 那你告诉他嘛
你奶个腿 	 没奶哥文凯大！！！
华科是什么 	 天地间，世间万物都有它存在的道理，比如我
别客气，你是我最爱的宝贝 	 还是客气点好，跟你又不熟的
傻逼,你回哪了 	 网友，你可别惹我哦
么么么么么么哒~~ 	 么啊么啊
我知道我很聪明，你夸我我也不会高兴的 	 我们永远都自以为很聪明，其实是愚笨的。
那你会不会?说实话 	 会啊，为什么不会
臧若琪啊这你都忘 	 对啊，
你看…你都不能证明自己是真的 	 你行的
认之 	 不管你信不信，反正我没法回答你
怎么跟你玩 	 熟阿，熟到可以下蛋煎給你吃！
那你就稍等会儿吧 	 哦，一小会的时间慢慢就过去了
【禁用】患禽流感死了 	 我會發雞瘟
你才勒 	 跟你一樣！
他不在 	 我晓得
你以为你是刘大脑袋啊 	 对！铁血真汉子！！
你全家都是禽 	 我压根就木有家人
我才是爷 	 别不承认了好不好，话说你装人装得也挺像的
←_←咦我什么都没说耶 	 我不跟你说话了！绝交！
我是爱玲姐姐的弟弟～ 	 啊啊啊啊啊亲亲！！！！！！
大叔也很帅啦 	 帅哥你安静会
我的情绪容易激动 	 好好味，又好好睇
跳楼,没关系,你会飞 	 这都没关系，真大气
那问你个问题,你今年多大了 	 问吧，听着呢
你是小清新还是重口味 	 这么重口味做什么哦
喜子 	 哦了哦了哦了,咱聊点别的吧
我爱你 	 好啊 我以后是守财奴的人了 让我干什么都行 包括那方面的事
主人加油 	 我會的了
小黄小黄你开心吗 	 嗯，蛮开心的
天平座的今天运势怎么样 	 郁闷了，老是把“秤”字打错
中国贪官多不多 	 这日子啊，好无聊哦...
【禁用】我决定,把你放到肚子里再跳 	 别吵，伦家正在梅州行网站上逛论坛呢
【禁用】是晨晨的 	 什么也不干。就是酷q机器人交流中心群主
我去,我怒了 	 去吧，赶紧的
中国人 	 龙的传人
一样的蛋 	 你永远都不会化身像泡沫一样，难道你不知道吗？
cnmlgb爆破一组 	 我要送比你～～
最喜欢放假了 	 当然是cici了地球人都知道了
马立东是傻逼吗 	 你出生后是不是被扔起来3次，但只被接住2次？
【禁用】别考注会了，我养你 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
那就放在心里吧 	 你是不是觉得这日子过得太无聊了哦
丸子会保护你的 	 宝贝，你说的话好高深啊，有点像哥德巴赫猜想，暂时无解！
何似在人间 	 金英雲
叫我爷 	 你说叫就叫，凭什么呀
无聊了才找你 	 必要的出去运动下吧
哟西!很多人喜欢你 	 喜欢我是好事啊，大家都喜欢我
神马意思 	 才明白是爱
你?吃蛋 	 雞蛋糕
和你聊太累 	 累就去冲个热水澡，然后休息一下吧
我不对你好，谁对你好啊？ 	 别假装对我好，我很傻，容易当真！
超级丹 	 负二代是我爷爷
几岁了 	 没年龄
⊙o⊙)…摸你尾巴……敢调戏我 	 天地间，世间万物都有它存在的道理，比如我
加索尔 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
我运气怎么样 	 人品不错，就是有点二
无聊就找 	 找你更无聊
咯达咯达你是好人 	 我觉得是的
我不好用 	 不好就不好啦，说这么大声是要全世界的人都听到吗
伦家很瘦的～ 	 是的，主人
真臭 	 你放屁呀你
不用比 	 哦，好
不干嘛 	 嗯
修养 	 今天是个好日子，怎么不敢去玩玩
你是联通移动还是电信 	 联通移动，我瞎说的，嘻嘻
小怪物 	 扑倒扑倒求扑倒
黄天也死了 	 天啊你好厲害
不是你的大爷 	 怎么就不是我的了
你要是厉害你别回 	 回一下好点吧
你也姓孙 	 略懂
问你滴数学老师嗷 	 袁大头
你给我讲了吗 	 好的~过来吧
他呀,他在调戏 	 虽然我很聪明，但也不可能全部都懂哦
【禁用】蔡卓妍 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
须得爱好吗 	 好吧
我就要让你算 	 哦，谢谢主人
这一张昂旧船票能否再登上你的客船 	 我也感觉過，，只是方式有點諷刺
你的比我傻 	 知道自己傻，还有得救
怕怕了 	 怕什麼？老鼠？蟑螂？
嗯嗯文人啊 	 哦哦哦哦
娑娜 	 对不起，我没明白你的意思……
有个性福的童年,和一个性福的后妈 	 脏蜜百科全书之一
为什么不能了 	 你深爱他，这是每个人都知道啊
速配星座是我老公的 	 哼，好吧，那我不管你了
你这不是说你自己呢吗 	 哦，说那么大声，还以为冲我来着
南京哪个大学？ 	 Lady，gaga，university
你陪我唠嗑 	 嗯啊，我陪你
你全物种都是笨蛋 	 男人不都觉得女人笨笨的么
你怎么还看？ 	 是一个可爱滴乖孩子
各种辛苦各种难 	 废话，基情四射阿
你说为嘛就为嘛 	 哟哟哟！
唉,睡觉 	 咱俩一块睡吧
父女最高 	 不给
亲儿子 	 老公
吃火腿么 	 么么哒……^O^
你生病了么 	 你没事吧，我会永远陪在你身边的！
需要擦屁股 	 越擦越黏呼
咋样 	 扮哂野咁，明明係你自己講過話有，仲想屈我!!!??
切~我知道是雨婷姐姐叫你说的! 	 不管你知不知道，事实就是这样子的
记住了,你再说一遍 	 好丫！你求我丫！嘻嘻
不会想你 	 啊，你这坏蛋，为什么不要我
Isorry 	 一句对不起，能顶什么用？
臣领命 	 虽然我很聪明，但也不可能全部都懂哦
第三季开始了叫我 	 开始咯，我要做什么呢
一定会噶，放心啦 	 那你快点告诉他啊
哎哟,我去,看样我弄对了 	 怎么了嘛
傻瓜我们都一样 	 是嘛，那就可以搞基了
我是黄蓉 	 守财奴，我老公
cm 	 “cm”是啥意思？
所以你那么不二不三 	 你还井嘞，横竖都二
还有掉毛 	 没啦!你个猪八戒转世!
你认识可儿么 	 好像有点印象，记不太清楚了
懒shi你去学习不然就要垫底了 	 快去读书吧，认真学习哦
裤子 	 轻点哦
很久没吃了 	 没吃就快去吃吧
老去的是时间,不老的是记忆 	 现在的生活太感性，情绪不停泛滥，身心具疲
你有头发吗?长发短发 	 马上发，你等着
我木有蛀牙 	 心悦君兮君不知
看,有辉基 	 这日子啊，好无聊哦...
傻雞 	 宝贝，你说的话好高深啊，有点像哥德巴赫猜想，暂时无解！
张勇 	 哈宝
我好孤单 	 區生，肥寶
小森森 	 麻麻呀...又来一个说瞎话的
我想美白 	 你想什么呢？
留几手 	 会评分的贱公知
那个B单位上毛上聊天 	 你不觉得这个话题没什么意思么
我要包养你 	 我咪係囉
你一点也不可爱了 	 那我值10块吗？
人是人他妈生的 	 是吗
随便叫叫 	 好重口啊你
我昨天去打羽毛球了 	 谈谈情，跳跳舞，跟我搞暧昧啊
再呵呵,就抓去烤了 	 笑得这么难看
设计 	 有小肥就够了
西安邮电大学 	 等等哈，正吃着切糕呢
主人睡觉了,别想我 	 别自作多情了，谁会去想你
她也一样爱着你呢… 	 无法理解您的话，获取帮助请发送 help
饭岛爱 	 永远的女神
你才是鸭子 	 得了哈，别顶嘴了
你才发感叹号了 	 你说的什么哦？换种说法行不
靠!我要有你这么个脑残得儿子要气死了 	 消消气
小花儿 	 曾经的女屌丝，现在的富婆加奶妈。
秋秋是谁 	 不知道是谁
大蛋 	 乜料?
女儿怎么了，想喝奶了，来吧，麻麻喂你， 	 唉...没事了，你别问
你猜!我猜!你猜不猜 	 不猜不猜，你直接说吧
没见过我会瞎说？ 	 那现在看见了吧
主人好～ 	 不错啊！你对他好，他会十倍对你好
【禁用】两只黄鸣翠柳 	 与其说是聊天，不如说是问答式的吧
你认识大黄吗 	 没什么印象咯
你是人工的还是电脑 	 不知道，不要问我啦
平常心…淡定 	 有平常心的人，才易成为不平常的人
那个一直很想幸福的人 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
自信从何而来 	 我就一个脑袋，思想再活跃也有局限性
算是神马 	 不知道
小受你也喜欢?你搞基 	 是啊…我喜欢吃
吉尔伽美什、你家银尘喊你回家吃饭 	 你爸喊你回家吃便便
下面 	 在上面
撸撸更健康 	 牙好胃口就好
死灵法师 	 皮克的老公
【禁用】哈士奇的 	 与其说是聊天，不如说是问答式的吧
